start,end,CE1,CE2,CR1,SM1,SM2,TM1,XH1,PM1
1,50000,2,1,1,2,1,1,1,4
50001,100000,0,0,0,0,0,0,0,0
100001,150000,0,0,0,0,0,0,0,0
150001,200000,4,1,0,1,1,2,0,0
200001,250000,1,0,0,0,0,0,0,0
250001,300000,0,0,0,0,0,0,0,0
300001,350000,0,0,0,0,0,0,0,0
350001,400000,0,0,0,1,0,0,0,0
400001,450000,1,2,2,0,1,0,0,0
450001,500000,1,10,3,7,6,5,2,4
500001,550000,2,1,0,0,0,2,0,5
550001,600000,0,0,0,0,0,0,0,0
600001,650000,3,2,1,3,3,3,1,2
650001,700000,1,1,2,4,3,2,1,2
700001,750000,2,3,3,3,2,3,3,2
750001,800000,0,0,0,0,0,0,0,0
800001,850000,3,3,1,0,1,2,1,2
850001,900000,0,0,0,0,0,0,1,0
900001,950000,2,2,2,3,4,1,2,1
950001,1000000,6,3,3,3,2,2,2,3
1000001,1050000,3,3,0,3,2,1,1,4
1050001,1100000,0,0,0,0,0,1,0,0
1100001,1150000,0,2,1,1,1,1,0,1
1150001,1200000,0,0,0,0,0,0,0,0
1200001,1250000,0,1,0,1,0,0,0,0
1250001,1300000,6,8,1,5,4,6,5,5
1300001,1350000,0,0,0,1,0,1,0,0
1350001,1400000,0,0,0,0,0,0,0,0
1400001,1450000,0,0,0,0,0,0,0,0
1450001,1500000,0,0,0,0,0,0,0,0
1500001,1550000,0,0,0,0,0,0,0,0
1550001,1600000,0,0,0,0,0,0,0,0
1600001,1650000,0,0,0,0,0,0,0,0
1650001,1700000,0,0,1,2,2,1,1,0
1700001,1750000,3,3,4,3,4,4,4,3
1750001,1800000,3,0,1,2,2,4,3,3
1800001,1850000,0,0,1,0,0,0,0,0
1850001,1900000,0,0,0,0,0,0,1,0
1900001,1950000,0,2,2,1,0,5,0,4
1950001,2000000,1,1,1,2,2,2,2,2
2000001,2050000,2,1,0,3,3,3,2,1
2050001,2100000,0,0,1,0,0,0,0,1
2100001,2150000,5,5,2,3,3,3,0,3
2150001,2200000,4,3,1,3,4,3,1,3
2200001,2250000,3,4,6,11,10,5,4,5
2250001,2300000,1,1,2,0,1,1,0,2
2300001,2350000,7,2,1,2,2,1,0,6
2350001,2400000,0,0,0,0,0,0,0,0
2400001,2450000,0,0,0,0,0,0,0,0
2450001,2500000,0,0,0,0,0,0,0,0
2500001,2550000,0,15,0,0,0,0,0,0
2550001,2600000,1,4,1,3,2,4,0,2
2600001,2650000,0,0,0,1,2,0,0,2
2650001,2700000,0,0,0,0,0,0,0,0
2700001,2750000,1,0,0,0,0,0,0,0
2750001,2800000,1,2,2,2,2,3,1,2
2800001,2850000,1,1,2,1,0,2,0,1
2850001,2900000,6,6,2,7,6,4,7,4
